# 1D background Vs: average of 234 CVM-S4.26 profiles
# Depth(m), Vs(m/s)
32300 4174.0092991452984
32400 4181.333145299147
32500 4188.6570299145314
32600 4196.2501196581197
32700 4203.8432478632494
32800 4211.4363461538433
32900 4219.0294444444417
33000 4226.6225769230805
33100 4234.3461196581175
33200 4242.0696880341902
33300 4249.7932692307668
33400 4257.5168461538451
33500 4265.2403974358958
33600 4273.4504316239327
33700 4281.660452991453
33800 4289.8704444444465
33900 4298.0804957264954
34000 4306.2904829059817
34100 4313.9811666666656
34200 4321.6718247863246
34300 4329.3625128205122
34400 4337.0531752136767
34500 4344.7438376068394
34600 4351.7174102564068
34700 4358.6909743589749
34800 4365.6645085470072
34900 4372.6380854700865
35000 4379.6116282051307
35100 4387.851982905986
35200 4396.0923076923091
35300 4404.3326581196579
35400 4412.573025641027
35500 4420.813384615386
35600 4430.1512222222236
35700 4439.4890683760686
35800 4448.8269316239284
35900 4458.1647905982927
36000 4467.5026153846165
36100 4475.4640897435875
36200 4483.4256068376062
36300 4491.3871538461544
36400 4499.348641025641
36500 4507.3101752136772
36600 4515.8905555555539
36700 4524.4709017094019
36800 4533.0512649572674
36900 4541.6316709401681
37000 4550.2120170940198
37100 4558.3032863247854
37200 4566.3946196581192
37300 4574.4858717948728
37400 4582.5771495726494
37500 4590.668487179486
37600 4598.2514188034202
37700 4605.8342606837614
37800 4613.4172008547012
37900 4621.0001410256418
38000 4628.5829914529932
38100 4632.4345811965795
38200 4636.2861709401714
38300 4640.1377478632503
38400 4643.9893119658136
38500 4647.840863247864
38600 4647.1806752136781
38700 4646.5204487179471
38800 4645.8602521367548
38900 4645.2000299145257
39000 4644.5397948717955
39100 4643.5244230769231
39200 4642.5090512820516
39300 4641.4936282051285
39400 4640.478256410257
39500 4639.4628418803413
39600 4638.5199829059857
39700 4637.577072649573
39800 4636.6342307692275
39900 4635.691316239313
40000 4634.7484829059804
